Name,doi,Technique,Manufacturer,Model Number,Serial Number,Room,Status,Acquisition Date,Completion Date,Description,Capabilities,Facility,Location,Award,Faculty Contact 1,Faculty Contact 2,Technical Contact 1,Technical Contact 2,Technical Contact 3,Image
"LabRAM HR ""Lucy"" (1129)",,raman,HORIBA SCIENTIF,LABRAM HR EV,1129,N007,A,,,,,MCL,Millenium Science Complex,,,,mtw5027@psu.edu,,,
Xplora Plus (72410),,raman,HORIBA SCIENTIF,XPLORA PLUS,72410,N007,A,,,,,MCL,Millenium Science Complex,,,,mtw5027@psu.edu,,,
XPS-Auger (6),,aes,UIVAC-PHI,PHI5000 VERSA PROBE III,6,N031D,A,,,,,MCL,Millenium Science Complex,,,,,,,
XPS (1124114),,xps,ULVAC PHI INC,PHI5000,1124114,N031D,A,,,,,MCL,Millenium Science Complex,,,,jxs124@psu.edu,tjz127@psu.edu,,
Verios G4 (9952413),,sem,THERMO SCIENTIF,VERIOS G4,9952413,N030K,A,,,,,MCL,Millenium Science Complex,,,,jma14@psu.edu,wua101@psu.edu,,
Apreo S (9952411),,sem,THERMO SCIENTIF,APREO,9952411,N030K,A,,,,,MCL,Millenium Science Complex,,,,jma14@psu.edu,wua101@psu.edu,,
ESEM Q250 (9950352),,sem,THERMA SCIENTIF,Q250,9950352,N030K,A,,,,,MCL,Millenium Science Complex,,,,jma14@psu.edu,wua101@psu.edu,,
ASAP 2020,,surface,MICROMETRICS,ASAP 2020,411,N007,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,jma14@psu.edu,glt5009@psu.edu,
Autopore V,,surface,MICROMETRICS,9620,120,N007,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,jma14@psu.edu,glt5009@psu.edu,
ASAP 2420,,surface,MICROMETRICS,ASAP 2420,,N004,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,jma14@psu.edu,glt5009@psu.edu,
Tecnai G2,,tem,FEI COMPANY,G2 20X TWIN,D2315,N030J,A,,,,,MCL,Millenium Science Complex,,,,jlg375@psu.edu,kuw13@psu.edu,,
Talos F200C,,tem,FEI COMPANY,F200C,,N031E,A,,,,,MCL,Millenium Science Complex,,,,jlg375@psu.edu,kuw13@psu.edu,,
Talos F200X,,tem,FEI COMPANY,FX200X,D6326,N030G,A,,,,,MCL,Millenium Science Complex,,,,jlg375@psu.edu,kuw13@psu.edu,,
Titan? G2,,tem,,,,,A,,,,,MCL,Millenium Science Complex,,,,jlg375@psu.edu,kuw13@psu.edu,,
Discovery TGA-MS,,,TA INSTRUMENTS,TGA5500,55000124,,A,,,,,MCL,Millenium Science Complex,,,,glt5009@psu.edu,,,
TA Q2000 DSC,,calori,TA INSTRUMENTS,DSCQ2000,29131,N007,A,,,,,MCL,Millenium Science Complex,,,,glt5009@psu.edu,,,
STA 449 F3,,,NETZSCH,STA 449F3 JUPITER,STA449F3B-0232-M,N007,A,,,,,MCL,Millenium Science Complex,,,,glt5009@psu.edu,,,
PHI nanoTOF II,,tof-sims,ULVAC PHI INC,PHITRIFTV,500815,N030D,A,,,,,MCL,Millenium Science Complex,,,,huc24@psu.edu,,,
Perkin-Elmer Lambda 950 UV-Vis-NIR Spectrophotometer,,uv-vis-nir,PERKIN ELMER,950,950N7123003,N007,A,,,,,MCL,Millenium Science Complex,,,,jjs366@psu.edu,,,
Agilent/Cary 7000 with UMA,,uv-vis-nir,,,,,A,,,,,MCL,Millenium Science Complex,,,,jjs366@psu.edu,,,
Malvern Panalytical Empyrean I / II / III,,xrd,,,,,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,,,
Malvern Panalytical XPert Pro MPD,,xrd,,,,,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,,,
Malvern Panalytical X'Pert3�MRD,,xrd,PANALYTICAL INC,XPERT3,DY5383,N008,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,,,
XENOCS Xeuss 2.0 SAXS/WAXS,,xrd,XENOCS,XEUSS 2.0,16410410,N008,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,,,
Multiwire Laue,,xrd,MULTIWIRE,MWL120,288,N008,A,,,,,MCL,Millenium Science Complex,,,,nmw10@psu.edu,,,
Trek 30kV Amplifier,,dielect,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Linear Variable Differential Tranformer (LVDT),,displace,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Modulab XM,,ec-impedance,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Agilent E4980A,,ec-impedance,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Agilent 4294A,,ec-impedance,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
FormFactor 11000B,,ec-impedance,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Keysight P9374A PNA,,5g,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Anritsu 37369D,,5g,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Keysight PNA-X N5247B,,5g,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
pA meter,,tsdc,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
amplifier and oven / furnace combinations,,tsdc,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Linseis LSR - 3,,th-seebeck,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
Ecopia HMS-3000,,pauw,,,,,A,,,,,MCL,Millenium Science Complex,,,,jal13@psu.edu,aum33@psu.edu,wuz14@psu.edu,
50 kN MTS Criterion load frame,,ten-compr,MTS,50KN,17006557,N001,A,,,,,MCL,Millenium Science Complex,,,,gzc5305@psu.edu,,,
100 kN MTS Criterion load frame,,ten-compr,MTS,100KN,17001053,N001,A,,,,,MCL,Millenium Science Complex,,,,gzc5305@psu.edu,,,
3D DIC Camera,,dic,,,,,A,,,,,MCL,Millenium Science Complex,,,,gzc5305@psu.edu,,,
TA Instruments Q800 DMA,,dma,TA INSTRUMENTS,Q800,0800-2108,N007,A,,,,,MCL,Millenium Science Complex,,,,gzc5305@psu.edu,,,
Qness Q60 A+ microindenter,,m-indent,QNESS,Q60A+,Q1381/0618,N031D,A,,,,,MCL,Millenium Science Complex,,,,gzc5305@psu.edu,,,
Netzsch 402 F1/F3 Hyperion TMA,,tma,NETZSCH INSTRUM,TMA402,206028049,N007,A,,,,,MCL,Millenium Science Complex,,,,gzc5305@psu.edu,,,
SEM1,,sem,Vortex,,,35,A,,,,,2DCC,Davey Lab,DMR-1539916,nxs16@psu.edu,,arr19@psu.edu,,,
